token_id,board_code,x,y
1,mfers,24,5
1001,69,35,11
2,mfers,35,13
1002,69,1,7
3,mfers,13,20
1003,69,28,0
4,mfers,18,0
1004,69,36,23
5,mfers,28,7
1005,69,18,15
6,mfers,32,7
1006,69,5,20
7,mfers,39,5
1007,69,16,22
8,mfers,31,23
1008,69,19,3
9,mfers,18,20
1009,69,0,5
10,mfers,6,5
1010,69,3,12
11,mfers,7,6
1011,69,2,12
12,mfers,20,24
1012,69,32,10
13,mfers,4,10
1013,69,14,5
14,mfers,2,20
1014,69,12,10
15,mfers,10,15
1015,69,33,17
16,mfers,39,16
1016,69,26,23
17,mfers,35,23
1017,69,26,4
18,mfers,5,17
1018,69,37,12
19,mfers,12,15
1019,69,22,11
20,mfers,23,5
1020,69,25,23
21,mfers,36,0
1021,69,38,4
22,mfers,37,8
1022,69,23,24
23,mfers,27,6
1023,69,31,1
24,mfers,24,7
1024,69,22,17
25,mfers,19,2
1025,69,35,9
26,mfers,32,21
1026,69,26,18
27,mfers,0,14
1027,69,29,4
28,mfers,3,19
1028,69,39,8
29,mfers,0,20
1029,69,23,5
30,mfers,22,12
1030,69,35,9
31,mfers,12,14
1031,69,30,22
32,mfers,25,9
1032,69,28,10
33,mfers,32,16
1033,69,11,4
34,mfers,14,11
1034,69,23,8
35,mfers,8,20
1035,69,18,6
36,mfers,38,5
1036,69,6,15
37,mfers,1,11
1037,69,11,19
38,mfers,26,19
1038,69,19,17
39,mfers,18,3
1039,69,38,10
40,mfers,18,1
1040,69,14,20
41,mfers,32,7
1041,69,3,1
42,mfers,35,2
1042,69,15,2
43,mfers,0,7
1043,69,14,13
44,mfers,30,9
1044,69,17,17
45,mfers,32,15
1045,69,26,3
46,mfers,10,4
1046,69,21,20
47,mfers,8,18
1047,69,8,10
48,mfers,19,6
1048,69,21,21
49,mfers,27,1
1049,69,20,9
50,mfers,12,9
1050,69,3,17
51,mfers,35,10
1051,69,31,20
52,mfers,15,10
1052,69,34,16
53,mfers,28,22
1053,69,8,2
54,mfers,17,16
1054,69,7,24
55,mfers,24,8
1055,69,6,22
56,mfers,9,15
1056,69,36,1
57,mfers,18,20
1057,69,31,15
58,mfers,21,10
1058,69,34,19
59,mfers,25,17
1059,69,13,2
60,mfers,17,24
1060,69,3,24
61,mfers,10,1
1061,69,26,17
62,mfers,24,8
1062,69,21,2
63,mfers,3,11
1063,69,25,20
64,mfers,14,21
1064,69,4,6
65,mfers,3,8
1065,69,23,3
66,mfers,0,9
1066,69,24,12
67,mfers,32,2
1067,69,3,5
68,mfers,33,20
1068,69,10,19
69,mfers,14,1
1069,69,29,7
70,mfers,13,16
1070,69,19,24
71,mfers,11,3
1071,69,21,15
72,mfers,2,11
1072,69,26,8
